country| aconfci|aconfci992|agdproi|agdproi992|agninci|agninci992|agweali|agweali992|ahweali|ahweali992|andproi|andproi992|apweali|apweali992|ehfghgi|enfcari|enfghgi|enncari|entcari|entonai|inyixxi|khfghgi|knfcari|knfghgi|knncari|kntcari|kntghgi|kntonai|mconfci|mgdproi|mgninci|mgweali|mhweali|mndproi|mnninci|mnweali|npopuli|npopuli001|npopuli051|npopuli101|npopuli111|npopuli151|npopuli201|npopuli202|npopuli251|npopuli301|npopuli302|npopuli351|npopuli401|npopuli402|npopuli451|npopuli501|npopuli502|npopuli551|npopuli601|npopuli602|npopuli651|npopuli701|npopuli702|npopuli751|npopuli801|npopuli802|npopuli851|npopuli901|npopuli902|npopuli951|npopuli991|npopuli992|npopuli993|npopuli994|npopuli995|npopuli996|npopuli997|npopuli998|xlcusxi
AD| 5718.500000| 7023.400000| 36536.700000| 44873.800000| 41210.600000| 50614.300000| 8759.600000| 10758.400000| 49475.500000| 60765.100000| 30818.100000| 37850.400000| 71116.300000| 87344|    0|    0|    0|    0|    0|    0| 0.891576|    0|    0|    0|    0|    0|    0|    0| 444327872| 2838897736.000000| 3202063872.000000| 680617728| 3844245249.000000| 2394569728.000000| 2757736192.000000| 6206351360.000000| 77700| 2549| 3659| 4154|   33| 4075| 4386| 9073| 4687| 5135| 11151| 6016| 6904| 14205| 7301| 6836| 13026| 6190| 4783| 8289| 3506| 2802| 4825| 2023| 1280| 2113|  833|  431|  554|  123| 14436| 63264| 20223| 27229| 15812| 52235| 11030| 2700| 0.875775
AE| 6335.800000| 7765.900000| 171309.600000| 209978.800000| 175569.800000| 215200.700000| 286997.100000| 351780| 698901.600000| 856662.400000| 164973.800000| 202212.900000| 788706.800000| 966739| 178.118174| 220.515997| 266.165122| 34.600013| 185.915984| 50.289841| 0.806686| 18.009195| 22.295959| 26.911457| 3.498343| 18.797617| 23.882328| 5.084712| 58842095616.000000| 1591001874432.000000| 1630567923712.000000| 2665424617472.000000| 6490901248320.000000| 1532159721472.000000| 1571725901824.000000| 9990371803136.000000| 9287289| 482234| 500284| 405095|   28| 322712| 723553| 2001336| 1277783| 1555590| 2956437| 1400846| 1014328| 1679183| 664855| 424725| 659269| 234544| 127133| 189001| 61868| 32896| 51780| 18884| 24832| 35952| 11120| 3333| 3984|  651| 1710324| 7576965| 4957771| 2338452| 280742| 7423355| 153610| 39963| 3.672500
AF| 3567.100000| 8028.600000| 49595.200000| 111625.900000| 50082| 112721.500000| 23193| 52201.500000| 89844.800000| 202217.300000| 46028.100000| 103597.300000| 179330.700000| 403626.900000| 35.138363| 24.410466| 43.119947| 3.621073| 20.789394| 24.400183| 0.833782| 0.902642| 0.627061| 1.107675| 0.093019| 0.534043| 1.160840| 0.626797| 139016847360.000000| 1932834242560.000000| 1951805472768.000000| 903883915264.000000| 3501450852628.000000| 1793817313280.000000| 1812788674560.000000| 7892799848448.000000| 38972232| 6375097| 5647051| 5050774|   32| 4584023| 3906752| 7049694| 3142943| 2388181| 4238418| 1850236| 1545874| 2804200| 1258326| 982524| 1726475| 743951| 554562| 949111| 394548| 279615| 442847| 163232| 74817| 99059| 24243| 4908| 5455|  547| 21656944| 17315288| 11288111| 4530674| 1496503| 16373346| 941941| 104546| 76.813536
AG| 7264.200000| 9844.500000| 48240.900000| 65376.700000| 47601.200000| 64509.700000|-19365.400000|-26244.300000| 33583| 45512.100000| 40976.700000| 55532.100000| 50685.800000| 68690| 0.708250| 0.886092| 1.146097| 0.338122| 0.547970| 0.116528| 0.852123| 7.232282| 9.048313| 11.703349| 3.452730| 5.595583| 6.785505| 1.189922| 673128448| 4470193911.000000| 4410913792.000000|-1794476928| 3111934296.000000| 3797065472.000000| 3737785344.000000| 3641446656.000000| 92664| 5276| 5787| 6620|   13| 6606| 7191| 14466| 7274| 7214| 14002| 6788| 6528| 13152| 6624| 6870| 12905| 6035| 4767| 8218| 3451| 2369| 3886| 1517|  926| 1437|  512|  232|  300|   69| 24288| 68376| 28467| 26057| 13853| 59289| 9086| 1750| 2.700000
AI| 11895.200000| 15526.500000| 67800.800000| 88498.800000| 70886.200000| 92526.100000| 3056.400000| 3989.400000| 26153.800000| 34137.900000| 55905.600000| 72972.200000| 71464.100000| 93280.400000|    0|    0|    0|    0|    0|    0| 0.660363|    0|    0|    0|    0|    0|    0|    0| 185386528| 1056675052| 1104761728| 47633348| 407606549| 871288512| 919375232| 895679040| 15585|  806|  984| 1022|    0|  834|  871| 1981| 1111| 1451| 3010| 1559| 1290| 2516| 1226| 1123| 2126| 1002|  785| 1433|  647|  422|  651|  229|  142|  204|   62|   20|   23|    4| 3645| 11940| 4991| 4641| 2309| 10415| 1524|  227| 2.700000
AL| 112105.400000| 146006.600000| 681463.700000| 887541.400000| 671457.500000| 874509.300000|-40351.100000|-52553.400000| 1367576.900000| 1781138.300000| 569358.300000| 741534.800000| 2204124.300000| 2870661.500000| 6.980537| 5.787946| 9.924508| 0.766832| 5.021114| 2.685733| 0.843256| 2.425653| 2.011242| 3.448648| 0.266465| 1.744777| 2.678037| 0.933260| 321389363200.000000| 1953653456896.000000| 1924967301120.000000|-115680419840.000000| 3920636303376.000000| 1632264126464.000000| 1603577839616.000000| 6203210989568.000000| 2866849| 145146| 162182| 164887|  223| 193438| 222927| 459802| 236875| 203309| 377597| 174288| 160776| 331384| 170608| 189455| 391388| 201932| 187432| 336144| 148712| 116645| 206374| 89729| 61175| 87279| 26105| 9049| 11009| 1960| 665652| 2201197| 837398| 722771| 641028| 1747601| 453596| 98511| 108.650002
AM| 339138| 458669.100000| 2615248.500000| 3537007.300000| 2578564.500000| 3487393.500000| 21677.800000| 29318.300000| 5355725.500000| 7243380.500000| 2276110.500000| 3078338.300000| 6884465| 9310932| 7.828604| 5.647499| 9.672223| 0.061988| 5.585511| 4.213571| 0.842523| 2.641904| 1.905851| 3.264067| 0.020919| 1.884932| 3.306878| 1.421946| 951488348160.000000| 7337362325504.000000| 7234440921088.000000| 60819533824.000000| 15026066894068.000000| 6385873977344.000000| 6282952572928.000000| 19375929163776.000000| 2805608| 190090| 205696| 174967|   80| 160400| 172283| 412790| 240507| 255512| 467783| 212271| 161993| 306732| 144739| 151623| 347148| 195525| 191887| 327167| 135280| 81397| 124017| 42620| 54720| 78306| 23586| 9111| 10436| 1325| 731153| 2074455| 880572| 653880| 540004| 1726337| 348117| 88821| 489.008850
AO| 183988.700000| 414322.800000| 1736287.500000| 3909933| 1584903.400000| 3569032.300000|-672566.400000|-1514547.500000| 1375762| 3098068.500000| 1552298.800000| 3495610.300000| 2479442| 5583437.500000| 33.686787| 22.124512| 53.867219|-5.159256| 27.283768| 61.068031| 0.546175| 1.024965| 0.673168| 1.638982|-0.156977| 0.830145| 2.688221| 1.858076| 6150463946752.000000| 58041462423552.000000| 52980921401344.000000|-22482878726144.000000| 45989641763962.000000| 51890997952512.000000| 46830456930304.000000| 45687177740288.000000| 33428486| 5847036| 5055576| 4242700|  179| 3438557| 2842368| 5319939| 2477571| 2149177| 3915901| 1766725| 1409533| 2530801| 1121268| 921676| 1662271| 740594| 549919| 923413| 373494| 236827| 383206| 146379| 75742| 102084| 26342| 5858| 6829|  971| 18583868| 14844618| 9235839| 4193070| 1415709| 13978828| 865790| 109090| 578.258789
AR| 522773.800000| 761720.100000| 3736679.800000| 5444619.500000| 3644562.500000| 5310398|-572053.200000|-833524| 2653462| 3866291| 3213906| 4682899.500000| 8976692| 13079705| 178.122770| 172.320997| 275.726971| 2.328430| 169.992568| 137.809541| 0.161689| 3.941138| 3.812768| 6.100724| 0.051519| 3.761249| 6.810418| 3.049169| 23543655956480.000000| 168285224042496.000000| 164136637956096.000000|-25763009003520.000000| 119501401375550.000000| 144741572280320.000000| 140592977805312.000000| 378511541927936.000000| 45036032| 3440360| 3671535| 3542009| 10169| 3473591| 3498348| 7012523| 3514174| 3314700| 6509588| 3194887| 3089587| 5774179| 2684592| 2301099| 4413451| 2112352| 1917221| 3581986| 1664765| 1354097| 2336868| 982771| 643184| 1025065| 381882| 186115| 244714| 58599| 14127494| 30908538| 13522108| 10187628| 7198801| 25626956| 5281580| 1279948| 70.539169
AS| 2646.100000| 4174.300000| 21325.900000| 33641.400000| 21325.900000| 33641.400000| 6980.600000| 11011.900000| 28923.800000| 45627.100000| 18679.700000| 29467.100000| 43641.400000| 68844|    0|    0|    0|    0|    0|    0| 0.731964|    0|    0|    0|    0|    0|    0|    0| 122222800| 985020812| 985020800| 322428480| 1335961614| 862798016| 862798016| 2338181632.000000| 46189| 4234| 4439| 4352|    0| 3885| 3679| 7962| 4283| 2797| 5251| 2454| 2737| 5591| 2854| 2866| 5503| 2637| 1994| 3375| 1381|  854| 1282|  429|  222|  295|   74|   22|   24|    2| 16909| 29280| 13212| 11093| 4975| 26299| 2981|  319|    1
AT| 9894| 12259.300000| 49757.500000| 61652.800000| 50501.300000| 62574.400000| 29461.200000| 36504.300000| 159452.800000| 197572.500000| 39863.500000| 49393.500000| 225030.300000| 278827.200000| 58.529242| 86.061178| 105.670920| 24.415550| 61.645628| 11.549372| 0.859348| 6.498630| 9.555560| 11.732873| 2.710912| 6.844648| 8.127000| 1.282352| 88133525504.000000| 443228979200.000000| 449854570496.000000| 262433406976.000000| 1420370240384.000000| 355095445504.000000| 361721036800.000000| 2266952892416.000000| 8907777| 434445| 426428| 422134| 1267| 435660| 510365| 1107373| 597008| 609916| 1221280| 611364| 566902| 1181359| 614456| 705299| 1396937| 691637| 576377| 1032037| 455660| 401749| 762085| 360336| 262727| 404482| 141755| 65558| 82296| 16738| 1718666| 7189111| 2328652| 2578294| 2282166| 5483322| 1705789| 488044| 0.875506
AU| 13952| 18429.900000| 86838.100000| 114709.200000| 86293.300000| 113989.600000| 77871| 102864| 398800.700000| 527154.300000| 72886.100000| 96279.200000| 502304.100000| 663521.100000| 194.221144| 336.981461| 441.651271|-32.932639| 369.914100| 128.061365| 0.875628| 7.655849| 13.283204| 17.409100|-1.298145| 14.581349| 19.629297| 5.047949| 358235013120.000000| 2229680734208.000000| 2215693516800.000000| 1999438741504.000000| 10237233728683.000000| 1871445622784.000000| 1857458536448.000000| 14896753278976.000000| 25676308| 1553773| 1616214| 1580836| 5362| 1487800| 1721418| 3654191| 1932772| 1934551| 3775195| 1840643| 1628972| 3302348| 1673376| 1568935| 3114185| 1545249| 1420763| 2666864| 1246101| 1096100| 1867841| 771741| 526968| 846414| 319445| 160494| 205291| 44797| 6238622| 19437686| 7429384| 6416531| 5591771| 15266677| 4171008| 1057066| 1.453085
AW| 6064.600000| 7957.200000| 44535.300000| 58433.600000| 46384.900000| 60860.400000| 11352| 14894.700000| 63313.500000| 83072| 38470.700000| 50476.400000| 80774.300000| 105981.900000| 1.069871| 1.710502| 1.994896| 0.809479| 0.901023| 0.034655| 0.964955| 10.020709| 16.021038| 18.684752| 7.581805| 8.439234| 8.763820| 0.324586| 646391680| 4746794227.000000| 4943930368.000000| 1209956480| 6748270252.000000| 4100402432.000000| 4297538560.000000| 9819288576.000000| 106585| 5288| 6301| 6905|    1| 6858| 5582| 11748| 6167| 6692| 13508| 6816| 7194| 14846| 7652| 8420| 17258| 8838| 7955| 14348| 6393| 4429| 7152| 2722| 1582| 2211|  629|  147|  167|   19| 25351| 81234| 25255| 32103| 23876| 65313| 15921| 2377| 1.790000
AZ| 950.400000| 1370.900000| 11340.100000| 16357.300000| 11228.900000| 16196.900000|-295.500000|-426.200000| 17352.500000| 25029.700000| 10389.700000| 14986.400000| 15449| 22284.200000| 39.451208| 38.963165| 59.248654| 1.930507| 37.032658| 29.437729| 0.622282| 3.890967| 3.842833| 5.843537| 0.190401| 3.652432| 6.555797| 2.903365| 9774981120.000000| 116632076288.000000| 115488833536.000000|-3039077376.000000| 178469262047.000000| 106857095168.000000| 105713852416.000000| 155853586432.000000| 10284951| 751839| 920918| 818681|   48| 663224| 714334| 1605061| 890727| 943937| 1776997| 833060| 688933| 1307187| 618254| 642350| 1273266| 630916| 502190| 799880| 297690| 160717| 244598| 83881| 82290| 114554| 32264| 7695| 8703| 1008| 3154661| 7130290| 3382057| 2580451| 1167782| 6464698| 665592| 123304| 1.700000
BA| 1613.500000| 2019.500000| 13005| 16277.900000| 12950.700000| 16210| 10400.100000| 13017.400000| 46082.900000| 57680.500000| 11391.500000| 14258.400000| 59107.900000| 73983.600000| 17.198019| 19.422033| 24.500348|-1.424425| 20.846458| 6.087904| 0.804702| 5.241990| 5.919873| 7.467753|-0.434168| 6.354041| 8.209646| 1.855605| 5354110464.000000| 43155730432.000000| 42975797248.000000| 34511675392.000000| 152921696274.000000| 37801619456.000000| 37621686272.000000| 230655918080.000000| 3318407| 157193| 166937| 171111|  315| 171981| 204778| 407367| 202590| 229495| 467961| 238466| 232747| 461672| 228925| 234873| 486415| 251542| 238992| 453431| 214439| 147325| 238560| 91235| 80659| 120880| 40222| 11891| 14587| 2696| 667221| 2651186| 875328| 948087| 827772| 2062405| 588781| 135782| 1.716970
BB| 2685.700000| 3532.800000| 38517.500000| 50667.500000| 55946.700000| 73594.700000|-25570.100000|-33636| 29319.500000| 38568.100000| 35831.800000| 47134.700000| 92900.700000| 122205.500000| 1.667468| 2.194931| 2.708605|-0.999527| 3.194458| 2.126431| 0.876615| 5.802410| 7.637864| 9.425334|-3.478126| 11.115990| 18.515490| 7.399499| 753845504| 10811586465.000000| 15703848960.000000|-7177360896.000000| 8229783417.000000| 10057741312.000000| 14950002688.000000| 14564677632.000000| 280693| 15109| 15709| 17948|   15| 18545| 18406| 37046| 18640| 18275| 37334| 19059| 18450| 38396| 19946| 19425| 39486| 20061| 18580| 33572| 14992| 11414| 19284| 7870| 4957| 7310| 2353|  802|  944|  142| 67310| 213383| 74380| 77881| 61123| 170839| 42543| 8268|    2
BD| 20250.500000| 32165.700000| 218358.200000| 346838.700000| 216600.700000| 344047.100000| 54407.700000| 86420.800000| 474286.400000| 753353.200000| 198107.800000| 314673| 643925.900000| 1022807.300000| 155.029446| 119.747195| 191.701543| 24.736838| 95.010357| 74.927552| 0.867250| 0.941345| 0.727109| 1.164019| 0.150203| 0.576906| 1.031869| 0.454963| 3390349770752.000000| 36557742407680.000000| 36263499399168.000000| 9108989149184.000000| 79405480763297.000000| 33167392112640.000000| 32873147006976.000000| 116915661963264.000000| 167420944| 14646914| 14651003| 15875897|  598| 16844400| 15960154| 30640876| 14680724| 13630868| 25927984| 12297114| 10691068| 20082642| 9391574| 7788030| 14075795| 6287766| 5244672| 9160703| 3916032| 2481215| 4114864| 1633650| 906434| 1282108| 375674| 103058| 117159| 14101| 62018216| 105402728| 56568860| 34158436| 14675431| 95971968| 9430760| 1399864| 84.871391
BE| 9096.800000| 11712.200000| 45121| 58093.700000| 46064| 59307.900000| 58758.300000| 75651.900000| 189390.200000| 243841.800000| 36024.200000| 46381.500000| 274672.400000| 353643.500000| 96.439485| 158.718945| 178.520885| 68.980954| 89.737991| 17.014855| 0.883205| 8.321193| 13.694919| 15.403511| 5.951959| 7.742960| 9.211072| 1.468111| 105174515712.000000| 521676292096.000000| 532579024896.000000| 679347290112.000000| 2189676052841.000000| 416501760000.000000| 427404492800.000000| 3827832193024.000000| 11561717| 605358| 661232| 675027| 1921| 640195| 673428| 1416910| 743482| 757171| 1510499| 753328| 745902| 1509074| 763172| 789212| 1592317| 803105| 730377| 1359407| 629030| 555126| 937846| 382721| 319116| 534845| 215730| 93912| 117089| 23177| 2581812| 8979905| 2927409| 3101390| 2951107| 6759174| 2220731| 653855| 0.875506
BF| 43651.200000| 97442.600000| 508310.300000| 1134701.400000| 489340.900000| 1092355.800000| 108693.400000| 242636.300000| 1121941.900000| 2504511.300000| 464659.100000| 1037258.800000| 1549925.900000| 3459900.300000| 29.462106| 5.454406| 37.785557| 1.260648| 4.193758| 29.678011| 0.932550| 1.409449| 0.260936| 1.807638| 0.060309| 0.200627| 1.620405| 1.419778| 939488313344.000000| 10940172992512.000000| 10531900489728.000000| 2339367550976.000000| 24147136020413.000000| 10000684548096.000000| 9592412045312.000000| 35697842978816.000000| 21522626| 3531132| 3227145| 2805845|    1| 2317048| 1929950| 3544755| 1614804| 1389349| 2559362| 1170013| 933775| 1639875| 706100| 560597| 1006863| 446266| 339321| 576459| 237139| 161474| 260995| 99521| 40737| 51587| 10850| 1503| 1564|   61| 11881170| 9641456| 6104115| 2646737| 890604| 9090172| 551284| 53151| 575.585999
BG| 3487.900000| 4281.700000| 23103.400000| 28361.200000| 22194.100000| 27244.900000| 11222.900000| 13776.900000| 56696.500000| 69599.400000| 19615.500000| 24079.500000| 95162.600000| 116819.500000| 28.963600| 33.981387| 41.701791|-3.824439| 37.805827| 12.587012| 0.747274| 4.168357| 4.890502| 6.001601|-0.550402| 5.440905| 7.252391| 1.811486| 24342566912.000000| 161242497024.000000| 154896171008.000000| 78326317056.000000| 395695104401.000000| 136899928064.000000| 130553610240.000000| 742482640896.000000| 6979175| 313756| 327172| 337486|  371| 315439| 303022| 680508| 377486| 473823| 954874| 481051| 529845| 1049949| 520105| 482626| 966336| 483710| 479736| 940759| 461023| 426704| 720285| 293580| 208768| 330822| 122054| 36068| 41424| 5356| 1293852| 5685323| 1635381| 2016285| 2033658| 4131400| 1553922| 372616| 1.716333
BH| 819.100000| 1100.900000| 10290.900000| 13831.400000| 9966.600000| 13395.600000|-1248|-1677.400000| 14995.700000| 20154.900000| 9471.800000| 12730.600000| 18060.500000| 24274.200000| 10.676894| 17.287351| 21.641833|-16.208118| 33.495469| 7.421177| 0.856185| 6.274713| 10.159617| 12.718706|-9.525362| 19.684980| 24.046337| 4.361357| 1210157440| 15204440064.000000| 14725379072.000000|-1843855744| 22155632318.000000| 13994283008.000000| 13515222016.000000| 24839954432.000000| 1477469| 102129| 104313| 93469|    6| 78293| 92874| 242584| 149710| 205215| 389484| 184269| 139011| 242939| 103929| 78890| 137488| 58598| 39536| 61789| 22253| 11413| 17971| 6557| 4294| 6302| 2008|  616|  707|   91| 378203| 1099266| 632066| 380427| 86773| 1052028| 47237| 7014| 0.376000
BI| 127962| 297090.100000| 826701.700000| 1919358.600000| 816076.400000| 1894689.600000| 99606.900000| 231257.900000| 1489642.900000| 3458513.500000| 698739.800000| 1622268.500000| 2908134| 6751833| 5.844532| 1.055674| 7.456094| 0.813077| 0.242597| 3.780220| 0.585062| 0.491518| 0.088781| 0.627048| 0.068379| 0.020402| 0.338314| 0.317912| 1563724087296.000000| 10102482403328.000000| 9972638285824.000000| 1217218740224.000000| 18203774587757.000000| 8538758316032.000000| 8408914198528.000000| 36755277348864.000000| 12220227| 2050742| 1990727| 1667856|   25| 1247435| 962942| 1830738| 867795| 840043| 1582415| 742372| 531461| 900005| 368544| 270822| 477365| 206543| 171509| 308550| 137042| 81340| 130744| 49403| 23751| 31752| 8001| 1693| 1880|  186| 6956759| 5263468| 3413151| 1377369| 472948| 4962028| 301439| 33655| 1915.046143
BJ| 55225.200000| 117812| 772779.400000| 1648571.500000| 766171.600000| 1634475.100000| 113059.100000| 241189.200000| 1445485.600000| 3083656.800000| 717554.300000| 1530759.600000| 2292706.500000| 4891034.500000| 14.246953| 9.215168| 18.079771| 1.416976| 7.798192| 9.938994| 0.922058| 1.175181| 0.760127| 1.491336| 0.116881| 0.643245| 1.463078| 0.819833| 698218840064.000000| 9770344906752.000000| 9686801711104.000000| 1429420507136.000000| 18275452432425.000000| 9072126459904.000000| 8988583264256.000000| 30416390062080.000000| 12643123| 2095719| 1774852| 1529644|   34| 1316357| 1132214| 2113463| 981250| 822867| 1511867| 689000| 554525| 1012152| 457627| 376062| 675625| 299563| 222918| 383654| 160736| 107081| 179001| 71920| 34637| 47245| 12608| 3074| 3515|  440| 6716571| 5926552| 3625329| 1687777| 613446| 5536023| 390529| 50792| 574.294556
BL|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0| 10681|  483|  522|  454|    1|  405|  707| 1711| 1004|  994| 1898|  904|  845| 1816|  971|  956| 1774|  818|  558|  935|  376|  250|  446|  195|  147|  214|   67|   23|   28|    5| 1864| 8817| 3608| 3589| 1621| 7754| 1063|  242|    0
BM| 5837.700000| 7307.200000| 114332.500000| 143113.400000| 218122.100000| 273029.900000| 59617.100000| 74624.500000| 196927.400000| 246500| 108494.800000| 135806.200000| 257169.700000| 321907|    0|    0|    0|    0|    0|    0| 0.940762|    0|    0|    0|    0|    0|    0|    0| 373792896| 7320824181.000000| 13966573568.000000| 3817339904.000000| 12609459239.000000| 6947031552.000000| 13592780800.000000| 13252581376.000000| 64031| 2893| 3232| 3436|   14| 3317| 3260| 6123| 2863| 3357| 7892| 4535| 4653| 9597| 4944| 4911| 10343| 5432| 5021| 9090| 4070| 3082| 5244| 2162| 1465| 2402|  937|  355|  453|   98| 12877| 51154| 14015| 19939| 17201| 38973| 12180| 2868|    1
BN| 6820.100000| 9793.700000| 46856.100000| 67286| 48041.600000| 68988.500000| 262773.800000| 377346.800000| 56494.200000| 81126.500000| 40036| 57492.300000| 137445.500000| 197373.700000| 0.952416| 2.130351| 3.024160|-6.322129| 8.452479| 5.481505| 0.800310| 2.177055| 4.869607| 6.912696|-14.451273| 19.320881| 31.850637| 12.529757| 3012600832.000000| 20697524818.000000| 21221195776.000000| 116073742336.000000| 24954920783.000000| 17684922368.000000| 18208593920.000000| 176786866176.000000| 441725| 32659| 34536| 32806|    3| 34120| 34344| 69053| 34709| 38766| 77630| 38864| 35903| 68668| 32765| 28165| 50904| 22738| 17205| 28445| 11240| 6232| 9717| 3485| 2014| 2892|  878|  250|  297|   47| 134120| 307605| 146682| 119571| 41352| 283458| 24147| 3191| 1.379703
BO| 1866.700000| 3171.600000| 23710.100000| 40285.100000| 23434.100000| 39816.100000| 6334.600000| 10762.800000| 70525.800000| 119828.200000| 21843.400000| 37113.500000| 88602.500000| 150541.800000| 42.675867| 21.099803| 65.453923|-0.346304| 21.446107| 72.365179| 0.894366| 3.655940| 1.807570| 5.607282|-0.029667| 1.837237| 8.036591| 6.199353| 22280853504.000000| 283007451136.000000| 279713153024.000000| 75610218496.000000| 841807009221.000000| 260726603776.000000| 257432289280.000000| 1133184024576.000000| 11936162| 1270348| 1253464| 1224386|   58| 1162847| 1112771| 2164436| 1051665| 948822| 1756818| 807996| 695279| 1286024| 590745| 493202| 901531| 408330| 322080| 558038| 235959| 170891| 278194| 107303| 53321| 74014| 20693| 5275| 6008|  733| 4911044| 7025118| 3921253| 2187554| 916311| 6430887| 594231| 80079| 6.910000
BQ| 4311| 5543.600000| 29092.800000| 37410.900000| 20283.500000| 26082.900000|    0|    0|    0|    0| 24781.800000| 31867.300000|    0|    0|    0|    0|    0|    0|    0|    0| 0.837207|    0|    0|    0|    0|    0|    0|    0| 112745024| 760863075| 530473504|    0|    0| 648118080| 417728480|    0| 26153| 1424| 1505| 1561|    0| 1326| 1261| 3120| 1859| 2067| 4106| 2039| 1822| 3707| 1885| 2054| 4263| 2209| 1726| 2970| 1244|  965| 1567|  602|  356|  531|  175|   63|   77|   14| 5815| 20338| 7226| 7970| 5143| 16920| 3418|  607|    1
BR| 5527.500000| 7719.900000| 45055| 62924.700000| 43635.300000| 60942| 12115.300000| 16920.500000| 95973.200000| 134038| 39527.500000| 55204.900000| 151807.500000| 212017.300000| 543.124853| 463.498091| 921.978883| 21.068110| 442.429980| 562.223014| 0.792207| 2.555167| 2.180558| 4.337511| 0.099116| 2.081441| 4.726457| 2.645016| 1178449870848.000000| 9605567479808.000000| 9302894968832.000000| 2582945202176.000000| 20461133292580.000000| 8427117477888.000000| 8124444966912.000000| 34911165612032.000000| 213196304| 14425717| 14770676| 15222580| 2060| 16125605| 17114798| 34176188| 17061386| 17454466| 34847428| 17392964| 15785440| 29769044| 13983606| 12725080| 24399578| 11674495| 9651941| 17167106| 7515164| 5323772| 8912349| 3588578| 2190790| 3112877| 922087| 233595| 265096| 31502| 60544576| 152651728| 69023616| 54168622| 29459484| 132844184| 19807544| 3380032| 5.155179
BS| 2006.100000| 2800.400000| 24357.600000| 34001.800000| 22826.700000| 31864.800000| 35628.400000| 49735.300000| 37676.300000| 52594| 22351.400000| 31201.400000| 60569.100000| 84551.100000| 2.351060| 2.858879| 3.385058| 0.364810| 2.494069| 0.231111| 0.985249| 5.978629| 7.269989| 8.608035| 0.927695| 6.342294| 6.929996| 0.587703| 815431872| 9900645754.000000| 9278385152.000000| 14481928192.000000| 15314313748.000000| 9085213696.000000| 8462953984.000000| 39101509632.000000| 406471| 23489| 26027| 32455|   43| 33320| 34246| 68788| 34541| 30297| 59662| 29365| 29260| 59254|   24| 26851| 51357| 24506| 18470| 30935| 12465| 8664| 14719| 6055| 3677| 5502| 1825|  724|  924|  200| 115291| 291180| 128449| 110610| 52122| 257528| 33652| 6468|    1
BT| 24660.800000| 36752.700000| 280498.400000| 418034.900000| 262804.500000| 391665.200000| 403838| 601851.400000| 387121.200000| 576937.900000| 255837.600000| 381282.200000| 617406.600000| 920138.900000| 1.170381| 1.585510| 2.542912| 0.132071| 1.453439| 1.257028| 0.840418| 1.516807| 2.054812| 3.295601| 0.171163| 1.883649| 3.512751| 1.629102| 19050608640.000000| 216686707642.000000| 203018059776.000000| 311967285248.000000| 299053448422.000000| 197636096000.000000| 183967449088.000000| 788917583872.000000| 772506| 52600| 62808| 66335|   12| 72418| 73501| 155650| 82148| 77784| 141059| 63275| 51995| 91188| 39193| 34018| 61071| 27054| 22782| 40306| 17524| 12117| 20657| 8540| 5031| 7504| 2473|  755|  904|  149| 254160| 518346| 296707| 152259| 69380| 471747| 46598| 8418| 74.099564
BW| 20036.200000| 34841.900000| 89357.800000| 155388.600000| 89406.500000| 155473.400000| 9817.400000| 17072| 59818.400000| 104021.100000| 69321.600000| 120546.800000| 121075.500000| 210544.100000| 10.553528| 16.236329| 23.301965| 10.077851| 6.158478| 6.153583| 0.753221| 4.487756| 6.904296| 9.908870| 4.285480| 2.618816| 5.235550| 2.616734| 51020140544.000000| 227540844544.000000| 227664920576.000000| 24999045120.000000| 152321618531.000000| 176520708096.000000| 176644767744.000000| 333305970688.000000| 2546402| 296195| 283124| 265346|   31| 237404| 220865| 444974| 224109| 219256| 421507| 202251| 163587| 283027| 119440| 94119| 168202| 74083| 56272| 95314| 39043| 23396| 37947| 14551| 8249| 11927| 3678| 1145| 1409|  265| 1082068| 1464334| 866479| 451228| 146627| 1373979| 90356| 13367| 11.456242
BY| 4553.800000| 5819.500000| 22122.500000| 28271.400000| 21192.900000| 27083.500000|    0|    0|    0|    0| 17568.700000| 22451.900000|    0|    0| 31.875694| 60.829268| 60.959706| 2.719262| 58.110006| 29.866627| 0.702511| 3.373331| 6.437421| 6.451225| 0.287773| 6.149648| 9.310364| 3.160716| 43869966336.000000| 213122416640.000000| 204166823936.000000|    0|    0| 169252454400.000000| 160296845312.000000|    0| 9633740| 502871| 585166| 534259|  817| 473012| 454747| 1027103| 572357| 772613| 1555215| 782601| 702416| 1353322| 650905| 620776| 1306773| 685997| 701375| 1264518| 563143| 413404| 633100| 219697| 227750| 341023| 113272| 47222| 56565| 9344| 2095307| 7538433| 2582318| 2660094| 2296022| 5943785| 1594647| 398404| 2.439575
