country| aconfci|aconfci992|agdproi|agdproi992|agninci|agninci992|agweali|agweali992|ahweali|ahweali992|andproi|andproi992|apweali|apweali992|ehfghgi|enfcari|enfghgi|enncari|entcari|entonai|inyixxi|khfghgi|knfcari|knfghgi|knncari|kntcari|kntghgi|kntonai|mconfci|mgdproi|mgninci|mgweali|mhweali|mndproi|mnninci|mnweali|npopuli|npopuli001|npopuli051|npopuli101|npopuli111|npopuli151|npopuli201|npopuli202|npopuli251|npopuli301|npopuli302|npopuli351|npopuli401|npopuli402|npopuli451|npopuli501|npopuli502|npopuli551|npopuli601|npopuli602|npopuli651|npopuli701|npopuli702|npopuli751|npopuli801|npopuli802|npopuli851|npopuli901|npopuli902|npopuli951|npopuli991|npopuli992|npopuli993|npopuli994|npopuli995|npopuli996|npopuli997|npopuli998|xlcusxi
LT| 2882.800000| 3588.600000| 23544.200000| 29308| 22832.900000| 28422.700000| 20492.300000| 25509| 38179.200000| 47525.800000| 20661.300000| 25719.400000| 66611| 82918| 17.329344| 20.185547| 27.231237| 8.050475| 12.135072| 5.947915| 0.751093| 6.365726| 7.414917| 10.003066| 2.957245| 4.457672| 6.642567| 2.184895| 8130307584.000000| 66400792576.000000| 64394981376.000000| 57793638400.000000| 107675505784.000000| 58270482432.000000| 56264675328.000000| 245654372352.000000| 2820267| 144339| 145944| 134734|  585| 129629| 152070| 334300| 182230| 189071| 363437| 174366| 174788| 370129| 195341| 203555| 419506| 215951| 202352| 360172| 157820| 130920| 244015| 113095| 91870| 145382| 53511| 22961| 28100| 5139| 554646| 2265621| 697736| 789635| 778251| 1689721| 575900| 174066| 0.875506
LU| 15384.300000| 19534.200000| 117077.400000| 148659| 181624.700000| 230618| 661240| 839609.300000| 158477.500000| 201226.800000| 101693.100000| 129124.800000| 909609.100000| 1154975.900000| 10.195884| 17.477333| 21.334284| 8.670967| 8.806366| 0.947958| 0.874247| 16.287926| 27.920044| 34.081524| 13.851871| 14.068172| 15.582535| 1.514363| 9698247680.000000| 73805472477.000000| 114496053248.000000| 416845037568.000000| 99904050459.000000| 64107220992.000000| 104797806592.000000| 990261542912.000000| 630399| 33127| 34128| 33488|   80| 33181| 38596| 86160| 47563| 50238| 99524| 49286| 47645| 93854| 46209| 46974| 90165| 43191|   34| 62850| 27851| 22551| 38919| 16369| 12724| 20619| 7895| 3561| 4308|  747| 133924| 496475| 185683| 184019| 126774| 404699| 91775| 25005| 0.875506
LV| 4348.400000| 5463| 19564.100000| 24578.500000| 19588.100000| 24608.600000| 27976.800000| 35147.300000| 53326.400000| 66994.100000| 15215.700000| 19115.500000| 85463.300000| 107367.800000| 8.942397| 12.547855| 17.270446| 5.111750| 7.436104| 3.822466| 0.811266| 4.740964| 6.652459| 9.156221| 2.710082| 3.942378| 5.968923| 2.026546| 8249220608.000000| 37114167296.000000| 37159731200.000000| 53073420288.000000| 101162981295.000000| 28864946176.000000| 28910508032.000000| 215201726464.000000| 1897052| 98019| 98204| 100671|  305| 90131| 84268| 194315| 110047| 132226| 261182| 128956| 120860| 252026| 131166| 128556| 264098| 135542| 132437| 245277| 112840| 94434| 173709| 79275| 67752| 101561| 33809| 14487| 17559| 3073| 387024| 1510028| 455496| 516123| 538409| 1104056| 405972| 119424| 0.875506
LY| 1368.200000| 2230.900000| 24145| 39370.100000| 24583.500000| 40085.100000| 52289.400000| 85261.400000| 70494.100000| 114945.400000| 22776.800000| 37139.200000| 45672| 74471.300000| 19.585421| 19.979197| 30.717933|-24.004797| 43.983994| 18.877250| 0.404589| 2.850326| 2.907633| 4.470474|-3.493491| 6.401124| 9.148388| 2.747264| 9103792128.000000| 160659439616.000000| 163577151488.000000| 347930624000.000000| 469063523126.000000| 151555637248.000000| 154473349120.000000| 651829641216.000000| 6653942| 623476| 662921| 669850|   51| 616944| 548443| 1033340| 484897| 475455| 979586| 504131| 517680| 972858| 455178| 355097| 609137| 254041| 166108| 278541| 112433| 87711| 149911| 62200| 36495| 52165| 15671| 4452| 5164|  713| 2573191| 4080751| 2012926| 1581995| 485831| 3761027| 319723| 57380| 1.388667
MA| 1746.500000| 2696.700000| 35179.900000| 54317.900000| 34627.500000| 53465|-15738.300000|-24299.900000| 70293.500000| 108533.300000| 33433.400000| 51621.200000| 87616.600000| 135280.200000| 82.378060| 72.231590| 118.897388| 2.100887| 70.130703| 42.163750| 0.892903| 2.231829| 1.956936| 3.221230| 0.056918| 1.900017| 3.042339| 1.142322| 64078221312.000000| 1290707664896.000000| 1270441836544.000000|-577417904128.000000| 2578981469888.000000| 1226629447680.000000| 1206363619328.000000| 2637126959104.000000| 36688772| 3321221| 3421915| 3196457|  142| 2987060| 2893821| 5793582| 2899761| 2849782| 5566683| 2716901| 2456998| 4645076| 2188078| 1932307| 3659760| 1727453| 1473305| 2604411| 1131106| 718734| 1151539| 432805| 223850| 314988| 91138| 23217| 25941| 2724| 12926652| 23762120| 11360264| 8304835| 4097020| 21138404| 2623715| 341070| 9.496847
MC| 32881.200000| 39456.600000| 171786.200000| 206138.900000| 126854.900000| 152222.600000| 35118.100000| 42140.800000| 278509.200000| 334203.800000| 138905| 166682.300000| 219550.600000| 263455| 0.206508| 0.202469| 0.364244| 0.119179| 0.083291| 0.049793| 0.930299| 5.262426| 5.159510| 9.281986| 3.037026| 2.122484| 3.391361| 1.268876| 1214039168| 6342688193.000000| 4683736576.000000| 1296629376| 10283116363.000000| 5128648704.000000| 3469697536.000000| 9402875904.000000| 36922| 1663| 1575| 1418|  402| 1497| 1625| 3147| 1521| 1540| 3140| 1599| 1639| 3460| 1821| 2336| 5015| 2679| 2773| 5186| 2413| 2399| 4664| 2266| 2101| 3820| 1719| 1207| 1939|  732| 6153| 30769| 6285| 8475| 16009| 17532| 13237| 6160| 0.875775
MD| 10915.300000| 14555.800000| 91167.200000| 121573.100000| 94807.600000| 126427.700000| 30649.400000| 40871.500000| 100357.700000| 133828.800000| 80251.900000| 107017.300000| 129895.400000| 173217.800000| 4.295201| 3.294029| 4.892879|-7.475352| 10.769381| 4.912349| 0.710197| 1.064760| 0.816574| 1.212921|-1.853104| 2.669678| 3.887425| 1.217748| 33672089600.000000| 281236832256.000000| 292467015680.000000| 94548647936.000000| 309588120181.000000| 247564746752.000000| 258794930176.000000| 495255977984.000000| 3084847| 211312| 210178| 184661|  135| 165381| 177148| 407070| 229922| 268623| 509217| 240595| 206295| 395559| 189264| 175627| 377574| 201947| 211905| 385548| 173642| 108382| 168694| 60312| 42004| 61344| 19340| 6780| 8178| 1398| 771532| 2313315| 916287| 773133| 623896| 1901323| 411991| 69656| 17.321835
ME| 1099.300000| 1454.500000| 8536.800000| 11295.300000| 8708| 11521.700000| 3707| 4904.800000| 13980.700000| 18498.200000| 7437.500000| 9840.700000| 21864| 28928.700000| 3.756113| 3.679216| 5.933542| 1.023445| 2.655771| 1.798470| 0.779421| 5.980443| 5.858009| 9.447323| 1.629518| 4.228491| 7.091995| 2.863504| 691518400| 5370080768.000000| 5477744128.000000| 2331877632.000000| 8794551430.000000| 4678562304.000000| 4786225664.000000| 16085399552.000000| 629048| 37465| 38145| 38917|   73| 39094| 40556| 82210| 41654| 42515| 88133| 45618| 43579| 84299| 40720| 39554| 80517| 40963| 39838| 75260| 35422| 25223| 41661| 16439| 13845| 20565| 6719| 2336| 2716|  380| 153620| 475428| 170342| 164815| 140272| 374993| 100435| 23352| 0.877475
MF| 2434.800000| 3450.500000| 19104.100000| 27073.100000| 19104.100000| 27073.100000| 6229.300000| 8827.800000|    0|    0| 16669.300000| 23622.700000| 38944.500000| 55189.600000|    0|    0|    0|    0|    0|    0| 0.936810|    0|    0|    0|    0|    0|    0|    0| 79260544| 621896569| 621896576| 202783616|    0| 542636032| 542636032| 1470542976| 32553| 2386| 2295| 2870|    6| 2032| 1393| 3206| 1813| 2075| 4280| 2204| 2431| 5116| 2685| 2762| 5285| 2523| 1879| 3296| 1417|  863| 1355|  491|  241|  381|  140|   39|   51|   11| 9582| 22971| 7485| 10400| 5086| 19763| 3208|  437| 0.875775
MG| 160969.700000| 324575.600000| 2172757.300000| 4381098| 2102250| 4238929| 491824.800000| 991704.400000| 4552095.500000| 9178742| 2011787.400000| 4056522.300000| 6912248| 13937699| 26.165907| 5.078405| 30.181750| 1.163944| 3.914461| 28.509218| 0.806106| 0.944924| 0.183395| 1.089947| 0.042033| 0.141362| 1.170910| 1.029547| 4543397494784.000000| 61326453899264.000000| 59336378286080.000000| 13881842860032.000000| 128483695599916.000000| 56783053783040.000000| 54792982364160.000000| 208981263908864.000000| 28225176| 4083553| 3697993| 3429398|   53| 3016270| 2711518| 5006084| 2294567| 1858143| 3401634| 1543491| 1352735| 2507486| 1154751| 900918| 1607876| 706959| 558639| 973487| 414847| 249178| 387238| 138061| 75506| 105844| 30338| 7324| 8265|  941| 14227212| 13997964| 8407718| 4115361| 1474885| 13081718| 916246| 114161| 3787.754150
